Zeit;Kanal A
(ms);(mV)

-20,29749917;-0,37217020
-20,29249917;-0,37217020
-20,28749917;-0,37217020
-20,28249917;0,18577760
-20,27749917;-0,37217020
-20,27249917;-0,74434050
-20,26749917;0,18577760
-20,26249917;0,00000000
-20,25749917;-1,11712600
-20,25249917;-0,37217020
-20,24749917;-0,37217020
-20,24249917;0,55856290
-20,23749917;0,37217020
-20,23249917;-0,37217020
-20,22749917;0,55856290
-20,22249917;0,55856290
-20,21749917;-0,37217020
-20,21249917;0,18577760
-20,20749917;-0,37217020
-20,20249917;-0,74434050
-20,19749917;0,18577760
-20,19249917;0,00000000
-20,18749917;0,00000000
-20,18249917;0,55856290
-20,17749917;-0,55856290
-20,17249917;0,18577760
-20,16749917;0,00000000
-20,16249917;0,18577760
-20,15749917;-0,74434050
-20,15249917;-0,74434050
-20,14749917;0,18577760
-20,14249917;0,00000000
-20,13749917;-0,18577760
-20,13249917;-0,55856290
-20,12749917;0,00000000
-20,12249918;1,11712600
-20,11749918;-0,18577760
-20,11249918;0,00000000
-20,10749918;0,93073320
-20,10249918;0,37217020
-20,09749918;0,93073320
-20,09249918;0,55856290
-20,08749918;0,55856290
-20,08249918;0,93073320
-20,07749918;0,55856290
-20,07249918;1,86146600
-20,06749918;1,48929600
-20,06249918;1,11712600
-20,05749918;1,30290300
-20,05249918;0,37217020
-20,04749918;0,74434050
-20,04249918;1,11712600
-20,03749918;0,93073320
-20,03249918;-0,18577760
-20,02749918;0,18577760
-20,02249918;0,93073320
-20,01749918;1,11712600
-20,01249918;-0,37217020
-20,00749918;1,48929600
-20,00249918;1,30290300
-19,99749918;0,55856290
-19,99249918;0,18577760
-19,98749918;1,11712600
-19,98249918;0,55856290
-19,97749918;0,93073320
-19,97249918;1,11712600
-19,96749918;0,55856290
-19,96249918;0,18577760
-19,95749918;-0,18577760
-19,95249918;0,37217020
-19,94749918;0,18577760
-19,94249918;0,18577760
-19,93749918;-0,18577760
-19,93249918;0,37217020
-19,92749918;-0,37217020
-19,92249918;0,18577760
-19,91749918;-0,18577760
-19,91249918;0,18577760
-19,90749918;-0,74434050
-19,90249918;0,18577760
-19,89749918;0,18577760
-19,89249918;-0,18577760
-19,88749918;0,00000000
-19,88249918;-0,74434050
-19,87749918;0,18577760
-19,87249918;0,55856290
-19,86749918;0,00000000
